Timestamp   BTC-candle.max-01-hs-1   BTC-candle.min-01-hs-1   BTC-candle.open-01-hs-1   BTC-candle.close-01-hs-1   BTC-volume.total-01-hs-1
1578805200000   8110.92   8070.98   8073.03   8106.05   997.127263
1578808800000   8153.84   8080.01   8105.96   8083.84   2509.947391
1578812400000   8110   8080.45   8083.43   8097.51   867.0950680000002
1578816000000   8144.72   8080.01   8097.51   8140.59   1564.0772669999997
1578819600000   8164.08   8118   8138.71   8137.5   1733.2441500000007
1578823200000   8140.87   8095.72   8137.49   8122.12   1437.2832819999992
1578826800000   8130.5   8103.17   8120.87   8114.08   867.374202
1578830400000   8155.77   8113.11   8114.08   8132.19   1826.5164810000006
1578834000000   8170.1   8122.09   8132.19   8165   1509.356687
1578837600000   8185   8127.79   8165.08   8137.17   2027.4520229999998
1578841200000   8171   8137.28   8137.64   8152.7   1232.9872630000004
1578844800000   8175   8100   8152.63   8101.98   1921.5739709999998
1578848400000   8197   8072   8101.02   8101.47   4321.62153
1578852000000   8129.68   8085   8101.47   8119.31   1596.9851159999998
1578855600000   8160.42   8119.32   8119.91   8132.01   1572.61611
1578859200000   8152.56   8128.58   8131.4   8138.74   827.5878429999999
1578862800000   8145.98   8091.22   8138.76   8102.32   700.412221
1578866400000   8168.78   8100.44   8102.21   8159.3   1229.9578369999997
1578870000000   8185   8134.51   8159.91   8184.98   1387.7123849999998
1578873600000   8196   8142.11   8184.97   8152.73   1532.1486739999996
1578877200000   8163.13   8138   8152.72   8155.98   971.8133220000001
1578880800000   8159.52   8109.7   8155.98   8113.12   1058.7192639999996
1578884400000   8124.9   8086.39   8112.97   8105.77   1451.173665
1578888000000   8126.31   8090.25   8105.73   8118.33   1134.7827209999998
1578891600000   8118.07   8077.65   8118.07   8096.23   1033.2492530000002
1578895200000   8115   8057.59   8096.18   8063.11   1601.3424809999995
1578898800000   8094.05   8060   8063.11   8075.26   1614.421591
1578902400000   8134.6   8065   8075.26   8129.99   1974.384978
1578906000000   8132.5   8086.01   8131.03   8113.69   1587.1078839999998
1578909600000   8129   8093.08   8113.67   8125.69   1559.751981
1578913200000   8131.56   8075   8125.66   8075.01   1464.21659
1578916800000   8096.11   8055.89   8076.86   8092.85   1823.7438110000003
1578920400000   8114.48   8077.64   8093.16   8086.78   1128.964651
1578924000000   8096.76   8071.56   8087.24   8090   1142.0611979999996
1578927600000   8103.18   8073   8090   8084.89   926.615141
1578931200000   8110   8071.12   8085.07   8109.96   1139.3518330000002
1578934800000   8129.45   8090.5   8109.38   8098.22   1443.251755
1578938400000   8109.71   8088   8098.21   8107.93   651.9011400000002
